Rank,Song,Artist(s),Album,Streams(Millions),Date published,Ref.
1,"""Shape of You""",Ed Sheeran,÷,2942,6 January 2017,[11]
2,"""Blinding Lights""",The Weeknd,After Hours,2570,29 November 2019,[12]
3,"""Dance Monkey""",Tones and I,The Kids Are Coming and Welcome to the Madhouse,2375,10 May 2019,[13]
4,"""Rockstar""",Post Malone featuring 21 Savage,Beerbongs & Bentleys,2278,15 September 2017,[14]
5,"""One Dance""",Drake featuring Wizkid and Kyla,Views,2146,5 April 2016,[15]
6,"""Closer""",The Chainsmokers featuring Halsey,Collage,2124,29 July 2016,[16]
7,"""Someone You Loved""",Lewis Capaldi,Breach and Divinely Uninspired to a Hellish Extent,2118,8 November 2018,[17]
8,"""Sunflower""",Post Malone and Swae Lee,Spider-Man: Into the Spider-Verse and Hollywood's Bleeding,2060,18 October 2018,[14]
9,"""Señorita""",Shawn Mendes and Camila Cabello,Shawn Mendes and Romance,1965,21 June 2019,[18][19]
10,"""Bad Guy""",Billie Eilish,"When We All Fall Asleep, Where Do We Go?",1897,29 March 2019,[20]
11,"""Perfect""",Ed Sheeran,÷,1862,3 March 2017,[21]
12,"""Thinking Out Loud""",Ed Sheeran,×,1859,20 June 2014,[11]
13,"""Believer""",Imagine Dragons,Evolve,1857,1 February 2017,[22]
14,"""Say You Won't Let Go""",James Arthur,Back from the Edge,1851,9 September 2016,[23]
15,"""God's Plan""",Drake,Scorpion,1824,19 January 2018,[15]
16,"""Lucid Dreams""",Juice Wrld,Goodbye & Good Riddance,1754,4 May 2018,
17,"""Photograph""",Ed Sheeran,×,1708,20 June 2014,[21]
18,"""Sad!""",XXXTentacion,?,1684,1 March 2018,[24]
19,"""Starboy""",The Weeknd featuring Daft Punk,Starboy,1673,21 September 2016,[12]
20,"""Don't Start Now""",Dua Lipa,Future Nostalgia,1663,1 November 2019,[18]
21,"""Havana""",Camila Cabello featuring Young Thug,Camila,1663,3 August 2017,
22,"""Love Yourself""",Justin Bieber,Purpose,1651,9 November 2015,[25]
